0.0000000;200.0000000;300.0000000;400.0000000
0.0000000;0.0000000;0.0000000;0.0000000
4.0342607;11667.7427000;11667.7427000;11667.7427000
7.8387854;23179.0469900;23179.0469900;23179.0469900
11.1838383;34377.4744500;34377.4744500;34377.4744500
13.8396833;45106.5866800;45106.5866800;45106.5866800
15.6495135;55177.5439900;55177.5439900;55177.5439900
16.7482375;64271.9015900;64271.9015900;64271.9015900
17.3436927;72038.8133900;72038.8133900;72038.8133900
17.6437167;78127.4333400;78127.4333400;78127.4333400
17.8256549;82341.3344300;82341.3344300;82341.3344300
17.9448854;85101.7659800;85101.7659800;85101.7659800
18.0262940;86984.3963700;86984.3963700;86984.3963700
18.0947667;88564.8939800;88564.8939800;88564.8939800
18.1758982;90424.3145400;90424.3145400;90424.3145400
18.2981188;93165.2632000;93165.2632000;93165.2632000
18.4905674;97395.7324200;97395.7324200;97395.7324200
18.7823833;103723.7147000;103723.7147000;103723.7147000
19.1902297;112495.6869000;112495.6869000;112495.6869000
19.6808667;123012.0637000;123012.0637000;123012.0637000
20.2085786;134311.7442000;134311.7442000;134311.7442000
20.7276500;145433.6274000;145433.6274000;145433.6274000
21.2226974;156041.3896000;156041.3896000;156041.3896000
21.7996667;168297.8156000;168297.8156000;168297.8156000
22.5948359;184990.4674000;184990.4674000;184990.4674000
23.7444833;208906.9071000;208906.9071000;208906.9071000
25.3963112;242440.5280000;242440.5280000;242440.5280000
27.7437187;286408.0494000;286408.0494000;286408.0494000
30.9915294;341232.0216000;341232.0216000;341232.0216000
35.3445667;407334.9952000;407334.9952000;407334.9952000
40.9176060;484085.8309000;484085.8309000;484085.8309000
47.4652313;566638.6304000;566638.6304000;566638.6304000
54.6519784;649093.8058000;649093.8058000;649093.8058000
62.1423833;725551.7690000;725551.7690000;725551.7690000
69.6479302;791342.8129000;791342.8129000;791342.8129000
77.0678958;846716.7540000;846716.7540000;846716.7540000
84.3485052;893153.2897000;893153.2897000;893153.2897000
91.4359833;932132.1174000;932132.1174000;932132.1174000
98.2413003;964921.1775000;964921.1775000;964921.1775000
104.5344063;991941.3832000;991941.3832000;991941.3832000
110.0499966;1013401.8910000;1013401.8910000;1013401.8910000
114.5227667;1029511.8560000;1029511.8560000;1029511.8560000
117.8080758;1040699.7740000;1040699.7740000;1040699.7740000
120.2439396;1048271.4970000;1048271.4970000;1048271.4970000
122.2890378;1053752.2150000;1053752.2150000;1053752.2150000
124.4020500;1058667.1200000;1058667.1200000;1058667.1200000
127.0132708;1064339.7910000;1064339.7910000;1064339.7910000
130.4394542;1071287.3750000;1071287.3750000;1071287.3750000
134.9689687;1079825.4040000;1079825.4040000;1079825.4040000
140.8901833;1090269.4140000;1090269.4140000;1090269.4140000
148.3187323;1102674.4130000;1102674.4130000;1102674.4130000
156.6793125;1116053.3040000;1116053.3040000;1116053.3040000
165.2238865;1129158.4640000;1129158.4640000;1129158.4640000
173.2044167;1140742.2680000;1140742.2680000;1140742.2680000
180.1260253;1149936.9060000;1149936.9060000;1149936.9060000
186.5064729;1157393.8150000;1157393.8150000;1157393.8150000
193.1166799;1164144.2440000;1164144.2440000;1164144.2440000
200.7275667;1171219.4420000;1171219.4420000;1171219.4420000
209.8037164;1179329.1330000;1179329.1330000;1179329.1330000
219.5843646;1187896.9340000;1187896.9340000;1187896.9340000
229.0024096;1196024.9340000;1196024.9340000;1196024.9340000
236.9907500;1202815.2240000;1202815.2240000;1202815.2240000
243.1554062;1207746.3860000;1207746.3860000;1207746.3860000
249.7948875;1211802.9640000;1211802.9640000;1211802.9640000
259.8808250;1216345.9940000;1216345.9940000;1216345.9940000
276.3848500;1222736.5120000;1222736.5120000;1222736.5120000
301.0730557;1231846.0330000;1231846.0330000;1231846.0330000
330.8893833;1242587.9810000;1242587.9810000;1242587.9810000
361.5722359;1253386.2580000;1253386.2580000;1253386.2580000
388.8600167;1262664.7680000;1262664.7680000;1262664.7680000
410.8729461;1269348.1940000;1269348.1940000;1269348.1940000
435.2585146;1274364.3360000;1274364.3360000;1274364.3360000
472.0460299;1279141.7790000;1279141.7790000;1279141.7790000
531.2648000;1285109.1030000;1285109.1030000;1285109.1030000
619.6159690;1293265.9310000;1293265.9310000;1293265.9310000
730.4880271;1302896.0460000;1302896.0460000;1302896.0460000
853.9413008;1312854.2710000;1312854.2710000;1312854.2710000
980.0361167;1321995.4280000;1321995.4280000;1321995.4280000
1102.6044920;1329502.7650000;1329502.7650000;1329502.7650000
1230.5652080;1335873.2160000;1335873.2160000;1335873.2160000
1376.6087370;1341932.1430000;1341932.1430000;1341932.1430000
1553.4255500;1348504.9050000;1348504.9050000;1348504.9050000
1770.4876030;1356198.7550000;1356198.7550000;1356198.7550000
2024.3927830;1364748.5230000;1364748.5230000;1364748.5230000
2308.5204640;1373670.9280000;1373670.9280000;1373670.9280000
2616.2500170;1382482.6940000;1382482.6940000;1382482.6940000
2941.9267810;1390804.2280000;1390804.2280000;1390804.2280000
3283.7599650;1398670.6870000;1398670.6870000;1398670.6870000
3640.9247460;1406220.9120000;1406220.9120000;1406220.9120000
4012.5963000;1413593.7450000;1413593.7450000;1413593.7450000
4399.4566900;1420928.8000000;1420928.8000000;1420928.8000000
4808.2155210;1428368.7840000;1428368.7840000;1428368.7840000
5247.0892830;1436057.1740000;1436057.1740000;1436057.1740000
5724.2944670;1444137.4480000;1444137.4480000;1444137.4480000
6248.2776270;1452735.8620000;1452735.8620000;1452735.8620000
6828.4055770;1461909.7770000;1461909.7770000;1461909.7770000
7474.2751920;1471699.3320000;1471699.3320000;1471699.3320000
8195.4833500;1482144.6670000;1482144.6670000;1482144.6670000
9002.9169720;1493292.7120000;1493292.7120000;1493292.7120000
9912.6231650;1505217.5670000;1505217.5670000;1505217.5670000
10941.9390800;1518000.1230000;1518000.1230000;1518000.1230000
12108.2018700;1531721.2720000;1531721.2720000;1531721.2720000
13428.7321600;1546383.1720000;1546383.1720000;1546383.1720000
14920.7845000;1561673.0550000;1561673.0550000;1561673.0550000
16601.5969000;1577199.4210000;1577199.4210000;1577199.4210000
18488.4074000;1592570.7670000;1592570.7670000;1592570.7670000
20583.1507400;1607404.0580000;1607404.0580000;1607404.0580000
22826.5486000;1621350.1170000;1621350.1170000;1621350.1170000
25144.0193700;1634068.2290000;1634068.2290000;1634068.2290000
27460.9814700;1645217.6820000;1645217.6820000;1645217.6820000
29710.8602300;1654555.0290000;1654555.0290000;1654555.0290000
31859.1087900;1662225.8940000;1662225.8940000;1662225.8940000
33879.1872100;1668473.1690000;1668473.1690000;1668473.1690000
35744.5555700;1673539.7450000;1673539.7450000;1673539.7450000
37594.6681300;1677703.3260000;1677703.3260000;1677703.3260000
40232.9560400;1681380.8790000;1681380.8790000;1681380.8790000
44628.8446500;1685024.1800000;1685024.1800000;1685024.1800000
51751.7592800;1689085.0080000;1689085.0080000;1689085.0080000
62110.8541800;1693839.6230000;1693839.6230000;1693839.6230000
74374.1990800;1698862.2040000;1698862.2040000;1698862.2040000
86749.5925800;1703551.4120000;1703551.4120000;1703551.4120000
97444.8333200;1707305.9070000;1707305.9070000;1707305.9070000
105314.2468000;1709700.3290000;1709700.3290000;1709700.3290000
111798.2662000;1711013.2440000;1711013.2440000;1711013.2440000
118983.8516000;1711699.1970000;1711699.1970000;1711699.1970000
128957.9630000;1712212.7330000;1712212.7330000;1712212.7330000
143057.5810000;1712908.9300000;1712908.9300000;1712908.9300000
159619.7686000;1713744.9890000;1713744.9890000;1713744.9890000
176231.6088000;1714578.6440000;1714578.6440000;1714578.6440000
190480.1852000;1715267.6290000;1715267.6290000;1715267.6290000
200675.9838000;1715711.3800000;1715711.3800000;1715711.3800000
208023.1019000;1715976.1370000;1715976.1370000;1715976.1370000
214449.0394000;1716169.8430000;1716169.8430000;1716169.8430000
221881.2963000;1716400.4410000;1716400.4410000;1716400.4410000
231781.4005000;1716746.1440000;1716746.1440000;1716746.1440000
243746.9908000;1717166.2480000;1717166.2480000;1717166.2480000
256909.7338000;1717590.3220000;1717590.3220000;1717590.3220000
270401.2963000;1717947.9340000;1717947.9340000;1717947.9340000
283476.1432000;1718185.8110000;1718185.8110000;1718185.8110000
295879.9329000;1718319.3220000;1718319.3220000;1718319.3220000
307481.1218000;1718380.9970000;1718380.9970000;1718380.9970000
318148.1667000;1718403.3650000;1718403.3650000;1718403.3650000
329320.4922000;1718413.8150000;1718413.8150000;1718413.8150000
348721.3958000;1718419.1810000;1718419.1810000;1718419.1810000
385645.1432000;1718421.1580000;1718421.1580000;1718421.1580000
449386.0000000;1718421.4410000;1718421.4410000;1718421.4410000
546184.5469000;1718421.4410000;1718421.4410000;1718421.4410000
670066.6250000;1718421.4410000;1718421.4410000;1718421.4410000
812004.3906000;1718421.4410000;1718421.4410000;1718421.4410000
1000000.0000000;1720583.6580000;1720583.6580000;1720583.6580000
1222222.2220000;1721635.8410000;1721635.8410000;1721635.8410000
1444444.4440000;1722688.0240000;1722688.0240000;1722688.0240000
1666666.6670000;1723740.2080000;1723740.2080000;1723740.2080000
1888888.8890000;1724792.3910000;1724792.3910000;1724792.3910000
2111111.1110000;1725844.5740000;1725844.5740000;1725844.5740000
2333333.3330000;1726896.7570000;1726896.7570000;1726896.7570000
2555555.5560000;1727948.9400000;1727948.9400000;1727948.9400000
2777777.7780000;1729001.1230000;1729001.1230000;1729001.1230000
3000000.0000000;1730053.3060000;1730053.3060000;1730053.3060000
